timestamp_ns,phase_sin,phase_cos,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1787020719585895412,0,1,0,0,0,0.00594614,-0.0171657,1.50632,0.00187523,0.00140513,0.00104769,-0.442738,0.396061,0.00306892,1.68498,0.178631,0.395554,nan,nan,0,0.397727,0.100573,0.00306892,-15.0672,0.248864,0.100919,nan,nan,0,0.00603722,-0.285037,0.00920582,-7.54578,-0.306981,-0.285088,nan,nan,0,-0.518766,0.524917,0.00920582,-10.232,0.230617,0.524232,nan,nan,0,0.164315,-0.209914,2.09788e-08,-1.79605,-0.127843,nan,2.87249,0.00669135,1,-0.0682309,0.0115678,-0.00314869,-5.59333,-0.0341154,nan,-1.36577,-0.00318152,1,0.508182,-0.394144,0.00306892,-1.48962,-0.145909,-0.393565,nan,nan,0,0.415383,-0.0650992,0.00306892,3.98046,0.157692,-0.0645803,nan,nan,0,0.146402,0.293474,0.00920582,5.10378,0.383201,0.293683,nan,nan,0,-0.349169,0.522233,-0.00306892,-10.1832,0.315416,0.521751,nan,nan,0,0.388113,-0.207474,-2.26948e-06,-4.11248,-0.0159437,nan,6.70358,0.0156157,1,0.11554,-0.00907014,-0.00944081,5.00155,0.0577699,nan,2.01936,0.00470402,1,0,0.729482,0.008039,-0.004228,0.683939,0.00187523,0.00140513,0.00104769,0.259142,0.064396,9.72427
1787020719595616309,0,1,0,0,0,0.00595714,-0.0171597,1.50634,-0.000423207,-7.07557e-05,0.00262134,-0.167782,0.396061,0.00306892,1.05006,0.316109,0.325251,nan,nan,0,0.142655,0.100765,0.046031,-3.98046,0.121328,0.148788,nan,nan,0,0.0698716,-0.283695,0.309939,-2.41758,-0.275064,-0.292142,nan,nan,0,-0.550452,0.524725,-0.0705805,-5.39683,0.214774,0.428602,nan,nan,0,0.0887522,-0.209915,-0.0518245,-2.42071,-0.165624,nan,1.62791,0.929162,1,-0.0489684,0.011174,-0.0125918,-3.02279,-0.0244842,nan,-1.05086,-0.432058,1,0.257735,-0.393951,0.00920582,-0.561661,-0.271132,-0.313227,nan,nan,0,0.190745,-0.0650992,-0.00920582,2.27106,0.0453727,0.00752345,nan,nan,0,-0.00128848,0.292515,-0.21174,2.22222,0.309356,0.322656,nan,nan,0,-0.301077,0.522233,-0.0276184,-5.39683,0.339462,0.45463,nan,nan,0,0.320612,-0.207477,-0.0153342,-1.40981,-0.0496942,nan,5.5454,2.19064,1,0.0268611,-0.00907014,-0.0598054,1.45288,0.0134306,nan,0.764729,0.655645,1,0,0.729477,0.008041,-0.004222,0.683944,-0.000423207,-7.07557e-05,0.00262134,0.221686,0.064897,9.73574
1787020719605464346,0,1,0,0,0,0.00594795,-0.0171812,1.50633,0.00350356,-0.00751293,-0.00160127,-0.0427354,0.395869,-0.0153437,-0.610504,0.378632,0.280642,nan,nan,0,0.17252,0.101724,0.156505,-1.8315,0.13626,0.168376,nan,nan,0,0.0343543,-0.278709,0.622948,-2.85714,-0.292823,-0.29084,nan,nan,0,-0.579666,0.524725,0.0276184,-11.3065,0.200167,0.302403,nan,nan,0,0.12058,-0.207865,0.0901884,0.312492,-0.14971,nan,1.90013,1.68499,1,-0.0372911,0.0127158,0.654619,-1.21437,-0.0186456,nan,-1.92277,-1.00988,1,0.201729,-0.39376,0.0337563,1.53846,-0.299136,-0.251891,nan,nan,0,0.104489,-0.0652909,-0.0214806,2.5641,0.0022443,0.0625538,nan,nan,0,-0.042494,0.288105,-0.457238,3.05251,0.288753,0.335518,nan,nan,0,-0.296416,0.522616,0.0583057,-8.66911,0.341792,0.377401,nan,nan,0,0.428213,-0.207508,0.185716,0.899141,0.00410665,nan,7.12793,4.54863,1,0.0298736,-0.0147707,-0.560036,1.42872,0.0149368,nan,1.73128,1.17958,1,0,0.729478,0.008045,-0.004233,0.683943,0.00350356,-0.00751293,-0.00160127,0.239687,0.118123,9.72061
1787020719615458602,0,1,0,0,0,0.00624268,-0.0171772,1.50627,0.0353867,0.0247163,-0.0104187,-0.0740061,0.395486,-0.0521679,-2.02686,0.362997,0.3076,nan,nan,0,0.251851,0.103833,0.224015,0.708183,0.175925,0.15487,nan,nan,0,0.138434,-0.273916,0.408138,-1.78266,-0.240783,-0.288393,nan,nan,0,-0.56348,0.52415,-0.101268,-17.9976,0.20826,0.223695,nan,nan,0,0.0855556,-0.205807,0.24563,0.899022,-0.167222,nan,0.98202,1.87711,1,-0.0490194,0.0236907,1.09793,-1.52471,-0.0245097,nan,-3.0929,-1.70078,1,0.414367,-0.393185,0.0828552,2.5641,-0.192817,-0.255324,nan,nan,0,0.172401,-0.0652909,0.0214815,3.49207,0.0362005,0.0535126,nan,nan,0,-0.0358095,0.285037,-0.187191,2.17339,0.292095,0.319038,nan,nan,0,-0.288113,0.522808,-0.0153437,-12.7228,0.345944,0.340643,nan,nan,0,0.397757,-0.203451,0.522757,3.28821,-0.0111214,nan,5.9474,6.01788,1,0.0423648,-0.0224017,-0.830094,1.54969,0.0211824,nan,2.55266,1.57936,1,0,0.729498,0.008151,-0.004131,0.683921,0.0353867,0.0247163,-0.0104187,0.115593,0.463138,8.84477
1787020719625538150,0,1,0,0,0,0.00690699,-0.0168106,1.5063,0.0713064,0.0309776,0.00887036,-0.114012,0.394527,-0.0889931,-1.5873,0.342994,0.344092,nan,nan,0,0.145837,0.106517,0.23629,0.463982,0.122919,0.15518,nan,nan,0,0.139388,-0.271039,0.23629,-1.39194,-0.240306,-0.273049,nan,nan,0,-0.575048,0.520891,-0.395864,-21.7094,0.202476,0.195542,nan,nan,0,0.0474999,-0.203725,0.368286,1.68152,-0.18625,nan,0.0591924,1.59038,1,-0.0655685,0.0358345,1.25471,-1.95457,-0.0327843,nan,-3.94062,-2.54319,1,0.319402,-0.392034,0.125817,3.19902,-0.240299,-0.243301,nan,nan,0,0.0942595,-0.0647159,0.0521679,4.22466,-0.00287027,0.0369623,nan,nan,0,-0.076755,0.284079,-0.0398932,1.53846,0.271622,0.301117,nan,nan,0,-0.23762,0.521657,-0.168778,-14.2369,0.37119,0.333672,nan,nan,0,0.405372,-0.197315,0.757833,5.29101,-0.0073139,nan,5.51329,6.38636,1,0.0561344,-0.0331378,-1.09004,1.72082,0.0280672,nan,3.47122,2.14622,1,0,0.729488,0.008268,-0.00377,0.683933,0.0713064,0.0309776,0.00887036,0.162857,0.726882,7.40744
1787020719635650601,0,1,0,0,0,0.00802777,-0.0166431,1.50598,0.0905057,0.0132551,-0.0725783,-0.0315589,0.393376,-0.131955,-0.415138,0.384221,0.355893,nan,nan,0,0.128763,0.108818,0.248566,0.415138,0.114381,0.148228,nan,nan,0,0.0790243,-0.26893,0.21174,-0.903542,-0.270488,-0.253302,nan,nan,0,-0.57214,0.515521,-0.64136,-23.0769,0.20393,0.193089,nan,nan,0,0.0445501,-0.19952,0.446319,1.52684,-0.187725,nan,-0.256634,0.859152,1,-0.0427536,0.0500774,1.49534,-2.91057,-0.0213768,nan,-4.38664,-3.45764,1,0.121155,-0.3905,0.162642,3.34554,-0.339423,-0.231135,nan,nan,0,0.0142668,-0.064332,0.0337563,4.42002,-0.0428666,0.0197511,nan,nan,0,-0.171628,0.283886,-0.0214806,0.903542,0.224186,0.285529,nan,nan,0,-0.27531,0.518973,-0.297665,-14.188,0.352345,0.346204,nan,nan,0,0.33013,-0.189105,0.907834,6.16468,-0.0449351,nan,3.68419,5.97371,1,0.0384623,-0.046952,-1.48614,2.63451,0.0192311,nan,4.21471,2.95454,1,0,0.729592,0.008619,-0.003327,0.683819,0.0905057,0.0132551,-0.0725783,-0.73631,0.567313,7.4292
1787020719645625774,0,1,0,0,0,0.0089485,-0.0161297,1.50504,0.0614699,0.0765575,-0.108641,-0.112051,0.39165,-0.181053,0.366302,0.343975,0.36572,nan,nan,0,0.181966,0.111503,0.26084,0.805862,0.140983,0.131326,nan,nan,0,0.101944,-0.266629,0.273115,-0.610504,-0.259028,-0.251874,nan,nan,0,-0.552677,0.507659,-0.825483,-22.8327,0.213662,0.197621,nan,nan,0,0.0460369,-0.19526,0.435746,1.09595,-0.186982,nan,-0.36386,0.128258,1,-0.0553924,0.0670372,1.73528,-4.13098,-0.0276962,nan,-5.44492,-4.25032,1,0.203152,-0.388582,0.193329,3.34554,-0.298424,-0.264857,nan,nan,0,0.0473719,-0.064332,-0.0214806,4.7619,-0.0263141,-0.008581,nan,nan,0,-0.169853,0.283503,-0.0521679,0.512817,0.225073,0.259436,nan,nan,0,-0.263125,0.515905,-0.33449,-15.8486,0.358437,0.355471,nan,nan,0,0.315161,-0.178784,0.922612,5.94205,-0.0524196,nan,3.03885,4.93244,1,-0.00526221,-0.0606767,-1.60372,2.68819,-0.0026311,nan,4.14694,3.83858,1,0,0.729912,0.008778,-0.002829,0.683478,0.0614699,0.0765575,-0.108641,-0.743299,0.431452,9.32917
1787020719655668762,0,1,0,0,0,0.00931292,-0.0150834,1.50378,-0.100912,0.107699,-0.14446,-0.219525,0.389157,-0.254703,1.39194,0.290237,0.364023,nan,nan,0,0.212649,0.113996,0.224015,0.903542,0.156325,0.127539,nan,nan,0,0.0718979,-0.263753,0.156505,-0.268623,-0.274051,-0.257021,nan,nan,0,-0.553081,0.49673,-0.942094,-22.6374,0.213459,0.205005,nan,nan,0,0.0666879,-0.190916,0.34443,0.308032,-0.176656,nan,-0.0175432,-0.304491,1,-0.0783073,0.0870952,1.83668,-4.23062,-0.0391537,nan,-6.54249,-5.04973,1,0.188075,-0.386473,0.205604,3.5409,-0.305962,-0.29655,nan,nan,0,0.151557,-0.0650992,-0.0767183,3.24786,0.0257787,-0.0268944,nan,nan,0,-0.147533,0.280052,-0.469513,1.39194,0.236233,0.235999,nan,nan,0,-0.262588,0.512836,-0.273115,-14.5788,0.358706,0.358166,nan,nan,0,0.285879,-0.170482,0.729675,5.75602,-0.0670606,nan,2.52523,3.78204,1,-0.00897326,-0.0776784,-1.05019,3.00467,-0.00448663,nan,3.77103,4.29015,1,0,0.730347,0.008552,-0.002328,0.683018,-0.100912,0.107699,-0.14446,-2.24495,1.24265,14.0912
1787020719666023866,0,1,0,0,0,0.00783406,-0.0137147,1.5033,-0.120428,0.208465,0.0538521,-0.338008,0.386473,-0.309939,1.0989,0.230996,0.33609,nan,nan,0,0.076152,0.115722,0.193329,0.757019,0.088076,0.138087,nan,nan,0,0.205854,-0.263177,0.0705805,-0.0244217,-0.207073,-0.263997,nan,nan,0,-0.454727,0.487718,-1.02802,-19.2674,0.262636,0.211124,nan,nan,0,0.17537,-0.188655,0.208382,0.108115,-0.122315,nan,2.00933,-0.315659,1,-0.0809319,0.101317,1.43155,-4.20886,-0.0404659,nan,-6.40081,-5.88678,1,0.229977,-0.384747,0.193329,2.36874,-0.285011,-0.307594,nan,nan,0,0.190523,-0.0656743,-0.0705805,1.88034,0.0452617,-0.0140694,nan,nan,0,-0.0985329,0.274299,-0.635223,1.0989,0.260734,0.228589,nan,nan,0,-0.19608,0.510344,-0.297665,-11.453,0.39196,0.359121,nan,nan,0,0.341553,-0.164241,0.37365,5.40819,-0.0392236,nan,3.81514,2.98047,1,-0.0573894,-0.0792946,-0.348162,2.98427,-0.0286947,nan,2.04024,4.09724,1,0,0.730522,0.007544,-0.002335,0.682842,-0.120428,0.208465,0.0538521,-0.100857,-0.359197,15.445
1787020719675507693,0,1,0,0,0,0.00783582,-0.0104722,1.50391,0.0312458,0.351641,0.0663779,-0.348048,0.383021,-0.346765,0.805862,0.225976,0.287367,nan,nan,0,-0.0377725,0.117256,0.14423,1.14774,0.0311138,0.127317,nan,nan,0,0.174762,-0.262027,0.131955,-0.317459,-0.222619,-0.2489,nan,nan,0,-0.425398,0.478322,-1.07098,-17.3138,0.277301,0.229802,nan,nan,0,0.239135,-0.18643,0.187791,-0.132217,-0.0904324,nan,3.07822,0.503106,1,-0.0559839,0.109261,0.550617,-4.59436,-0.027992,nan,-4.9435,-6.25281,1,0.268168,-0.38283,0.174916,2.17339,-0.265916,-0.302615,nan,nan,0,0.193317,-0.0662498,-0.0214806,1.44078,0.0466583,0.0150657,nan,nan,0,-0.1276,0.269697,-0.377452,0.0732574,0.2462,0.238498,nan,nan,0,-0.166007,0.506125,-0.426551,-8.42491,0.406997,0.370004,nan,nan,0,0.439607,-0.164248,0.0968382,4.22429,0.0098036,nan,5.94656,3.07409,1,-0.043919,-0.0802662,0.286323,2.98529,-0.0219595,nan,1.31972,3.11459,1,0,0.730323,0.006438,-0.001148,0.68307,0.0312458,0.351641,0.0663779,-2.51953,1.82773,12.3464
