timestamp_ns,phase_sin,phase_cos,cycle_time,smoothed_speed,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1787208217959699155,0.176232,0.984349,0.354667,0.008,0.4,-0,5.62555e-05,0.115344,-0.0140574,-0.000244678,0.00267864,0.00187349,-0.000187518,-0.600078,0.395102,0.00306892,1.48962,0.099961,0.394415,nan,nan,0,0.626729,0.0497594,0.00306892,0.512817,0.363364,0.0504899,nan,nan,0,0.0195043,-0.312649,-0.00306892,0.854698,-0.300248,-0.31262,nan,nan,0,-0.329616,0.518206,0.00306892,-8.37607,0.325192,0.517757,nan,nan,0,-0.136743,-0.211562,-5.96798e-07,0.431356,-0.278371,nan,-2.33833,-0.00544704,1,0.10583,0.0055517,-0.0031426,-2.00328,0.0529148,nan,1.42561,0.00332089,1,0.6774,-0.39817,0.00306892,-0.65934,-0.0612999,-0.397385,nan,nan,0,0.273565,-0.047842,0.00306892,-0.366302,0.0867827,-0.0475284,nan,nan,0,0.170191,0.306897,-0.00306892,1.0989,0.395096,0.307102,nan,nan,0,-0.639305,0.528944,0.00306892,-11.6972,0.170347,0.528109,nan,nan,0,0.186977,-0.208996,0.00190999,-3.45398,-0.116511,nan,3.23409,0.00753369,1,0.502934,-0.000981903,-2.11387e-06,-0.979851,0.251467,nan,7.57346,0.0176421,1,0,0.998312,0.057638,-0.007024,0.000283,0.00267864,0.00187349,-0.000187518,0.134826,0.160887,9.7393
1787208217967934230,0.342714,0.93944,0.35924,0.01584,0.4,-0,5.62555e-05,0.11532,-0.0140418,-0.000237596,0.0013723,-0.000598648,-0.00120815,-0.29686,0.395102,0.00920582,0.952377,0.25157,0.298902,nan,nan,0,0.420504,0.0497594,0.00306892,-0.0732574,0.260252,0.152113,nan,nan,0,0.0588657,-0.312649,0.00920582,0.805862,-0.280567,-0.308546,nan,nan,0,-0.375374,0.518206,-0.00306892,-5.15263,0.302313,0.45501,nan,nan,0,-0.097704,-0.211562,-0.00191558,-0.351341,-0.258852,nan,-1.65228,-0.763322,1,0.0375087,0.0055517,-9.61014e-07,-1.52618,0.0187544,nan,0.396081,0.463968,1,0.504216,-0.39817,0.00920582,-0.170937,-0.147892,-0.288167,nan,nan,0,0.0826941,-0.047842,0.00306892,-0.170937,-0.00865296,-0.00402288,nan,nan,0,-0.0920823,0.306897,0.00306892,0.854698,0.263959,0.335445,nan,nan,0,-0.663437,0.528944,-0.00306892,-6.71551,0.158281,0.411604,nan,nan,0,-0.0354082,-0.208996,1.36941e-06,-2.0409,-0.227704,nan,-0.654793,1.0495,1,0.380172,-0.000981903,-0.00314068,-0.501994,0.190086,nan,5.73675,2.47495,1,0,0.998313,0.057626,-0.007016,0.000286,0.0013723,-0.000598648,-0.00120815,0.118816,0.190405,9.73044
1787208217977763494,0.495353,0.868692,0.363722,0.0235232,0.4,-0,5.62555e-05,0.115274,-0.01403,-0.000232588,0.00126781,0.000874689,0.00377197,-0.195953,0.39491,-0.00920582,-1.78266,0.302023,0.2269,nan,nan,0,0.456026,0.0497594,0.00920582,3.24786,0.278013,0.247619,nan,nan,0,0.0613255,-0.313033,-0.0398932,0.463982,-0.279337,-0.297051,nan,nan,0,-0.413372,0.518781,0.0644436,-8.22955,0.283314,0.368165,nan,nan,0,-0.0881817,-0.21157,-0.0287049,-1.05642,-0.254091,nan,-1.44519,-1.49802,1,0.034413,0.00633683,0.150822,0.286356,0.0172065,nan,0.0998573,0.692196,1,0.460111,-0.397978,0.0214815,2.36874,-0.169944,-0.177821,nan,nan,0,0.0065017,-0.0476503,0.0153437,1.05006,-0.0467491,0.0202484,nan,nan,0,-0.176045,0.306897,-0.00306892,0.903542,0.221978,0.32902,nan,nan,0,-0.634736,0.529519,0.0521679,-14.2857,0.172632,0.26026,nan,nan,0,0.100788,-0.208959,0.114487,-0.0762539,-0.159606,nan,1.55562,1.10468,1,0.409951,-0.00117801,0.185119,1.74209,0.204975,nan,5.90692,4.97021,1,0,0.998314,0.057603,-0.00701,0.000288,0.00126781,0.000874689,0.00377197,0.129226,0.190496,9.71633
1787208217988165763,0.630924,0.775845,0.368114,0.0310527,0.4,-0,5.62555e-05,0.115258,-0.0139699,-0.000233013,0.00473829,0.00734461,-0.00454283,-0.166765,0.394527,-0.0644426,-2.75946,0.316618,0.238003,nan,nan,0,0.51562,0.0501428,0.0828552,6.37363,0.30781,0.282951,nan,nan,0,0.108245,-0.313033,0.00920582,0.463982,-0.255877,-0.285661,nan,nan,0,-0.383181,0.518973,-0.0153437,-14.2857,0.298409,0.308373,nan,nan,0,-0.121319,-0.20953,-0.0861175,-1.21334,-0.27066,nan,-2.01035,-1.67422,1,0.0418146,0.00434578,0.339239,0.286433,0.0209073,nan,-0.0120135,0.443468,1,0.683714,-0.397595,0.0705805,4.7619,-0.0581428,-0.143103,nan,nan,0,0.0285185,-0.0474586,0.0398932,2.75946,-0.0357408,-0.000481215,nan,nan,0,-0.112073,0.306897,-0.0153437,0.757019,0.253964,0.281754,nan,nan,0,-0.611256,0.529136,-0.11968,-22.442,0.184372,0.177779,nan,nan,0,0.12718,-0.204744,0.333039,0.754618,-0.14641,nan,1.54214,0.894417,1,0.507285,0.00765197,0.840204,3.96534,0.253643,nan,6.11941,5.86341,1,0,0.998315,0.057595,-0.00698,0.000286,0.00473829,0.00734461,-0.00454283,-0.028588,0.198489,9.60948
1787208217997992925,0.747018,0.664804,0.372418,0.0384317,0.4,-0,5.62555e-05,0.115346,-0.0139806,-0.000256286,0.0238789,-0.0227291,-0.00340749,-0.161239,0.393376,-0.131955,-2.95483,0.31938,0.277064,nan,nan,0,0.223759,0.0516768,0.162642,8.03419,0.161879,0.298469,nan,nan,0,-0.0201193,-0.312649,0.0337563,0.903542,-0.32006,-0.272283,nan,nan,0,-0.387895,0.517823,-0.14423,-17.6557,0.296052,0.286355,nan,nan,0,-0.181024,-0.211619,-0.162801,-1.64288,-0.300512,nan,-2.86705,-1.75673,1,0.0982743,0.0096747,0.421082,0.31017,0.0491371,nan,0.552251,0.105065,1,0.627175,-0.396253,0.168778,5.25031,-0.0864127,-0.111589,nan,nan,0,-0.231407,-0.0470748,0.0398932,1.78266,-0.165704,-0.0250871,nan,nan,0,-0.201592,0.306513,-0.0644426,-0.0244217,0.209204,0.251045,nan,nan,0,-0.517542,0.525876,-0.426551,-26.105,0.231229,0.159091,nan,nan,0,0.142323,-0.20035,0.408667,1.39636,-0.138838,nan,1.53989,1.09637,1,0.593622,0.0229199,1.73203,5.26137,0.296811,nan,5.61869,5.87179,1,0,0.998312,0.057639,-0.006986,0.000275,0.0238789,-0.0227291,-0.00340749,0.277348,0.356519,9.35198
1787208218007873707,0.841979,0.53951,0.376637,0.045663,0.4,-0,5.62555e-05,0.115528,-0.0144621,-0.000383567,0.0066833,-0.029599,-0.0113077,-0.04277,0.391459,-0.193328,-1.44078,0.378615,0.307134,nan,nan,0,-0.039579,0.0535946,0.224015,8.37607,0.0302105,0.259066,nan,nan,0,-0.254727,-0.312649,0.0214815,1.39194,-0.437364,-0.282086,nan,nan,0,-0.337862,0.515521,-0.26084,-19.5604,0.321069,0.286238,nan,nan,0,-0.292762,-0.213709,-0.185912,-1.68108,-0.356381,nan,-4.71465,-2.14367,1,0.254134,0.0142236,0.345819,0.429161,0.127067,nan,2.86658,0.102844,1,0.330787,-0.39376,0.297665,4.66422,-0.234607,-0.087079,nan,nan,0,-0.333228,-0.0468831,0.00306892,1.78266,-0.216614,-0.0787433,nan,nan,0,-0.118736,0.304404,-0.254703,-0.610504,0.250632,0.230543,nan,nan,0,-0.398139,0.518973,-0.71501,-27.033,0.290931,0.182408,nan,nan,0,0.142648,-0.195823,0.544037,0.508272,-0.138676,nan,1.1841,1.30247,1,0.643997,0.0418648,1.96982,6.43873,0.321998,nan,5.44928,5.46454,1,0,0.998306,0.057729,-0.00723,0.000226,0.0066833,-0.029599,-0.0113077,0.941371,0.929053,10.3296
1787208218018142427,0.91483,0.40384,0.380771,0.0527498,0.4,-0,0.00356244,0.115358,-0.0148779,-0.000364273,-0.0330095,0.00794884,0.0197619,-0.0792131,0.388966,-0.26084,-0.463982,0.360393,0.33973,nan,nan,0,-0.334524,0.0558953,0.205604,8.22955,-0.117262,0.158312,nan,nan,0,-0.327692,-0.312841,-0.0276184,1.29426,-0.473846,-0.341473,nan,nan,0,-0.281705,0.512261,-0.359039,-18.6325,0.349147,0.29926,nan,nan,0,-0.420848,-0.21579,-0.0882121,-2.73517,-0.420424,nan,-7.02988,-3.19306,1,0.404338,0.0177941,0.135242,0.405233,0.202169,nan,5.32838,1.1049,1,0.408347,-0.389733,0.4511,4.27351,-0.195826,-0.128916,nan,nan,0,-0.307775,-0.0472665,-0.0398932,0.21978,-0.203888,-0.151267,nan,nan,0,0.0393435,0.30172,-0.273115,-0.952377,0.329672,0.228684,nan,nan,0,-0.125997,0.511686,-0.850033,-24.1514,0.427001,0.231927,nan,nan,0,0.162006,-0.189288,0.584731,1.60436,-0.128997,nan,1.23308,1.26567,1,0.457499,0.0554598,0.926607,6.90939,0.228749,nan,3.80878,5.35147,1,0,0.998309,0.057644,-0.007437,0.000247,-0.0330095,0.00794884,0.0197619,0.874615,1.33708,12.0267
1787208218027870865,0.965198,0.261519,0.384822,0.0596948,0.4,-0,0.00356244,0.114578,-0.0150424,0.00023711,-0.131671,0.016758,0.104434,0.00795643,0.385898,-0.316077,-0.0732574,0.403978,0.361032,nan,nan,0,-1.01804,0.0570459,0.0767183,6.08059,-0.459018,0.0217693,nan,nan,0,-0.541856,-0.313992,-0.174916,0.268623,-0.580928,-0.415383,nan,nan,0,-0.250867,0.508427,-0.426551,-15.116,0.364567,0.322368,nan,nan,0,-0.597504,-0.215793,-0.00574563,-3.47763,-0.508752,nan,-10.245,-4.98743,1,0.645498,0.0181871,0.094369,0.905562,0.322749,nan,8.9953,3.07876,1,0.112363,-0.384364,0.592261,3.5409,-0.343819,-0.178998,nan,nan,0,-0.211319,-0.0476503,-0.046031,-2.66178,-0.15566,-0.196924,nan,nan,0,0.220496,0.297692,-0.469513,-0.170937,0.420248,0.264996,nan,nan,0,0.268147,0.501907,-0.917544,-17.9976,0.624074,0.317842,nan,nan,0,0.142085,-0.185097,0.365138,2.36545,-0.138958,nan,1.06718,1.20051,1,0.262786,0.0592946,0.22427,6.12859,0.131393,nan,1.82654,5.07429,1,0,0.998331,0.057257,-0.007502,0.000549,-0.131671,0.016758,0.104434,0.513363,1.94621,13.1713
1787208218037781485,0.993242,0.116064,0.388792,0.0665009,0.4,-0,0.00356244,0.113216,-0.014556,0.00181341,-0.119501,0.128134,0.177139,-0.0787558,0.382638,-0.328352,0.21978,0.360622,0.379983,nan,nan,0,-1.90454,0.0566626,-0.0705805,1.68498,-0.902272,-0.192335,nan,nan,0,-0.754867,-0.317251,-0.359039,-1.44078,-0.687434,-0.497325,nan,nan,0,-0.244149,0.502866,-0.537024,-12.2833,0.367925,0.346237,nan,nan,0,-0.693868,-0.2158,-0.0344849,-4.80634,-0.556934,nan,-11.888,-7.49873,1,0.982006,0.0207424,0.405785,2.52564,0.491003,nan,13.4991,5.84485,1,-0.339054,-0.377653,0.702735,2.71062,-0.569527,-0.248177,nan,nan,0,-0.0357541,-0.0484171,-0.101268,-4.32234,-0.0678771,-0.195577,nan,nan,0,0.459536,0.291749,-0.604536,1.05006,0.539768,0.335512,nan,nan,0,0.782407,0.492895,-0.880719,-9.49939,0.881204,0.457365,nan,nan,0,0.095441,-0.183055,0.107777,2.04298,-0.162279,nan,0.565486,1.19336,1,-0.0471315,0.0598434,-0.0760565,5.21833,-0.0235657,nan,-2.38819,3.88613,1,0,0.99837,0.056583,-0.007215,0.001317,-0.119501,0.128134,0.177139,-0.827574,1.65529,11.5728
1787208218047824707,0.999572,-0.029265,0.392683,0.0731709,0.4,-0,0.00356244,0.11179,-0.0114412,0.00317384,-0.0798644,0.0548265,-0.0423929,-0.0642331,0.379187,-0.297665,0.268623,0.367883,0.38235,nan,nan,0,-2.43445,0.0549369,-0.187191,-8.96215,-1.16722,-0.520944,nan,nan,0,-1.08418,-0.323195,-0.598398,-4.22466,-0.85209,-0.59358,nan,nan,0,-0.33327,0.49673,-0.543161,-11.7949,0.323365,0.362084,nan,nan,0,-0.730091,-0.217887,-0.157218,-7.77291,-0.575046,nan,-12.2647,-9.97535,1,1.22332,0.0310038,1.0102,5.23949,0.611658,nan,15.9043,9.37422,1,-0.616196,-0.369408,0.751834,0.415138,-0.708098,-0.385995,nan,nan,0,0.128307,-0.0499511,-0.131955,-4.12698,0.0141534,-0.146789,nan,nan,0,0.553821,0.287913,-0.150367,2.0757,0.58691,0.433506,nan,nan,0,1.10806,0.485417,-0.678185,-1.19658,1.04403,0.657667,nan,nan,0,-0.026011,-0.183074,0.0800287,0.672299,-0.223006,nan,-1.51763,1.01403,1,-0.198157,0.0567268,-0.203682,3.38887,-0.0990787,nan,-4.36864,1.28941,1,0,0.99842,0.055874,-0.005623,0.001904,-0.0798644,0.0548265,-0.0423929,-3.37612,0.849709,7.64042
